Connected to PostgreSQL
[LOG] Server running on port 8080

 ┌───────────────────────────────────────────────────┐ 
 │                  Fiber v2.52.10                   │ 
 │               http://127.0.0.1:8080               │ 
 │       (bound on host 0.0.0.0 and port 8080)       │ 
 │                                                   │ 
 │ Handlers ............ 62  Processes ........... 1 │ 
 │ Prefork ....... Disabled  PID ................. 1 │ 
 └───────────────────────────────────────────────────┘ 

12:35:00 | 200 |    6.643254ms | 172.18.0.5 | GET | /api/v1/conversations | -
12:35:00 | 200 |     4.07476ms | 172.18.0.5 | GET | /api/v1/conversations | -
12:35:00 | 200 |   21.935438ms | 172.18.0.5 | GET | /api/v1/bookings/consultant/64dde902-a147-4a38-92fd-1d3530f51149 | -
12:35:00 | 200 |    5.258157ms | 172.18.0.5 | GET | /api/v1/bookings/consultant/64dde902-a147-4a38-92fd-1d3530f51149 | -
12:35:05 | 200 |    2.434518ms | 172.18.0.5 | GET | /api/v1/conversations | -
12:35:05 | 200 |     3.10243ms | 172.18.0.5 | GET | /api/v1/bookings/my-trips | -
12:35:06 | 200 |    2.202167ms | 172.18.0.5 | GET | /api/v1/conversations | -
12:35:06 | 200 |    2.499254ms | 172.18.0.5 | GET | /api/v1/bookings/my-trips | -
12:35:15 | 200 |    2.515907ms | 172.18.0.5 | GET | /api/v1/conversations | -
12:35:15 | 200 |    1.962262ms | 172.18.0.5 | GET | /api/v1/conversations | -
12:35:15 | 200 |    6.827037ms | 172.18.0.5 | GET | /api/v1/bookings/consultant/64dde902-a147-4a38-92fd-1d3530f51149 | -
12:35:15 | 200 |    5.965444ms | 172.18.0.5 | GET | /api/v1/bookings/consultant/64dde902-a147-4a38-92fd-1d3530f51149 | -
12:35:20 | 200 |    2.146747ms | 172.18.0.5 | GET | /api/v1/conversations | -
12:35:20 | 200 |    2.384663ms | 172.18.0.5 | GET | /api/v1/bookings/my-trips | -
12:35:21 | 200 |     2.09461ms | 172.18.0.5 | GET | /api/v1/conversations | -
12:35:21 | 200 |     2.35912ms | 172.18.0.5 | GET | /api/v1/bookings/my-trips | -
12:35:30 | 200 |    2.141681ms | 172.18.0.5 | GET | /api/v1/conversations | -
12:35:30 | 200 |    1.910229ms | 172.18.0.5 | GET | /api/v1/conversations | -
12:35:30 | 200 |    6.109608ms | 172.18.0.5 | GET | /api/v1/bookings/consultant/64dde902-a147-4a38-92fd-1d3530f51149 | -
12:35:30 | 200 |    4.807592ms | 172.18.0.5 | GET | /api/v1/bookings/consultant/64dde902-a147-4a38-92fd-1d3530f51149 | -
12:35:35 | 200 |    2.858463ms | 172.18.0.5 | GET | /api/v1/conversations | -
12:35:35 | 200 |    2.938565ms | 172.18.0.5 | GET | /api/v1/bookings/my-trips | -
12:35:36 | 200 |    2.080815ms | 172.18.0.5 | GET | /api/v1/conversations | -
12:35:37 | 200 |    2.487437ms | 172.18.0.5 | GET | /api/v1/bookings/my-trips | -
12:35:45 | 200 |    1.938181ms | 172.18.0.5 | GET | /api/v1/conversations | -
12:35:45 | 200 |    1.922023ms | 172.18.0.5 | GET | /api/v1/conversations | -
12:35:45 | 200 |     5.74117ms | 172.18.0.5 | GET | /api/v1/bookings/consultant/64dde902-a147-4a38-92fd-1d3530f51149 | -
12:35:45 | 200 |    4.709964ms | 172.18.0.5 | GET | /api/v1/bookings/consultant/64dde902-a147-4a38-92fd-1d3530f51149 | -
12:35:50 | 200 |    3.461594ms | 172.18.0.5 | GET | /api/v1/conversations | -
12:35:50 | 200 |    3.306133ms | 172.18.0.5 | GET | /api/v1/bookings/my-trips | -
12:35:51 | 200 |    2.446884ms | 172.18.0.5 | GET | /api/v1/conversations | -
12:35:52 | 200 |    2.423837ms | 172.18.0.5 | GET | /api/v1/bookings/my-trips | -
12:36:00 | 200 |    1.933845ms | 172.18.0.5 | GET | /api/v1/conversations | -
12:36:00 | 200 |    2.072203ms | 172.18.0.5 | GET | /api/v1/conversations | -
12:36:00 | 200 |     5.93701ms | 172.18.0.5 | GET | /api/v1/bookings/consultant/64dde902-a147-4a38-92fd-1d3530f51149 | -
12:36:00 | 200 |    4.886302ms | 172.18.0.5 | GET | /api/v1/bookings/consultant/64dde902-a147-4a38-92fd-1d3530f51149 | -
12:36:04 | 200 |    2.074474ms | 172.18.0.5 | GET | /api/v1/conversations | -
12:36:05 | 200 |    2.029204ms | 172.18.0.5 | GET | /api/v1/conversations | -
12:36:05 | 200 |    1.992265ms | 172.18.0.5 | GET | /api/v1/notifications | -
12:36:05 | 200 |    2.850835ms | 172.18.0.5 | GET | /api/v1/bookings/my-trips | -
12:36:05 | 200 |    1.518775ms | 172.18.0.5 | GET | /api/v1/notifications | -
12:36:05 | 200 |    2.278278ms | 172.18.0.5 | GET | /api/v1/bookings/my-trips | -
12:36:06 | 200 |    1.355821ms | 172.18.0.5 | GET | /api/v1/notifications | -
12:36:06 | 101 |     351.837µs | 172.18.0.5 | GET | /ws/notifications | -
